Team,Position,Shirt number,Name,Minutes played,Games played,Percentage of games played,Full games played,Percentage of full games played,Games started,Percentage of games started,Games where substituted,Percentage of games where substituted,Yellow Cards,Red Cards,Second Yellows,Goals scored,Penalties scored,Own goals,Goals conceded while player on pitch,Tackles,Interceptions,Recoveries,Clearances,Successful tackles,Unssuccessful tackles,Last man,Successful duels,Duels lost,Successful aerial challenges,Unsuccessful aerial challenges,Offsides,Fouls suffered,Fouls committed,Penalties won,Penalties given away,Handballs committed,Fouls committed per card,Shots,Shots on target,Assists,Successful dribbles,Unsuccessful dribbles,Goals scored,From inside the area,From outside the area,Goals with left foot,Goals with right foot,Penalties scored,Goals scored with header,Goals from set piece,Crosses,Corners,Tackles,Duels,Man-to-man duels,Aerial duels,Passes,Short passes,Long passes,Through balls,Goals scored per attempt
Athletic Club,Forward,20,Aduriz,25,1,"51,0%",0,"11,0%",0,"27,0%",0,"41,0%",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,3,6,6,0,0,0
Atlético de Madrid,Goalkeeper,,Alex Dos Santos,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético de Madrid,Goalkeeper,1,Adán,2,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Atlético de Madrid,Goalkeeper,13,Oblak ,90,1,"3,0%",1,"3,0%",1,"3,0%",0,"0,0%",0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,17,0,0
Atlético de Madrid,Defender,2,Godín,66,1,"78,0%",1,"70,0%",1,"73,0%",0,"8,0%",0,0,0,0,0,0,1,0,1,4,4,1,1,0,2,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,4,28,23,5,0,0
Atlético de Madrid,Defender,3,Filipe Luis,54,1,"70,0%",0,"38,0%",1,"62,0%",0,"32,0%",0,0,0,0,0,0,1,0,1,4,1,1,1,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,5,5,1,34,31,3,0,0
Atlético de Madrid,Defender,4,Arias,51,1,"2,0%",1,"1,0%",1,"2,0%",0,"1,0%",0,0,0,0,0,0,0,0,1,3,1,1,1,0,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,4,2,23,21,1,0,0
Atlético de Madrid,Defender,15,Savić,39,1,"1,0%",0,"1,0%",1,"1,0%",0,"0,0%",0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,15,12,3,0,0
Atlético de Madrid,Defender,18,Nehuen Pérez,0,0,"0,0%",0,"0,0%",0,"0,0%",0,"0,0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlético de Madrid,Defender,20,Juanfran,42,1,"57,0%",0,"38,0%",1,"46,0%",0,"19,0%",0,0,0,0,0,0,0,0,1,4,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,3,1,20,19,1,0,0
